,AlertId,Date,Alert,Category,Priority,Company,Company_normalized,Region
34,35,2023-05-04 09:34,SIG will be participating in PLMA Amsterdam 2023 taking place on the 23rd and 24th of May 2023. ,Events,Medium,Sig,Sig,
35,36,2023-05-04 09:44,"GEA highlighted that they are working tirelessly with farmers to help them produce safe, reliable and nutritious food.",Marketing Updates,Medium,Gea Farming Ireland,Gea Farming,Ireland
36,37,2023-05-04 09:47,"Tetra Pak discussed that Disney and MARVEL characters are coming to beverage cartons in Switzerland to make meals magical. Moreover, the new range of Coop Qualite & Prix brand beverage cartons won't only feature these beloved characters but also boast a QR code for access to fun and educational information, highlighting the health benefits of dairy. ",Marketing Updates,Medium,Tetra Pak,Tetra Pak,
37,38,2023-05-05 03:52,"Instagram Post: The Group Office Vienna and the Mondi Korneuburg plant participated in the Girl's Day, providing a diverse program on packaging and paper. ",Instagram Posts,Medium,Mondi Group Global,Mondi,
38,39,2023-05-05 04:37,"Elopak has reported Q1 2023 with record-high revenues and adjusted EBITDA. The revenues increased by 26%, to EUR 283.4 million, driven by growth in EMEA and the Americas.",Financial Results,High,Elopak,Elopak,
39,40,2023-05-05 04:42,GEA focuses on the new circular processes that design more sustainable machinery and equipment at every lifecycle stage. ,Sustainability,Medium,Gea Lithuania,Gea,Lithuania
40,41,2023-05-05 04:43,Upcoming Event: 'The Green Festival' is scheduled to take place on 5th May 2023.,Events,Medium,Tetra Pak,Tetra Pak,
41,42,2023-05-05 05:14,"In celebration of Asian American Pacific Islander Month, SPX FLOW states that they are proud of the influence and contributions of their Asian American, EMEA and AsiaPacific solution makers. ",LinkedIn Posts,Medium,Spx Flow,Spx Flow,
42,43,2023-05-05 05:49,"SIG featured an article: Everything recycling - Recycling has become a critical part of the product life cycle, especially in the packaging industry. Recap the different ways in which recycling works in a roundup of the series.",Company Blog,Medium,Sig,Sig,
43,44,2023-05-05 05:50,GEA will be joining the trade fair 'ProPak Asia 2023' taking place from 14th to 17th June 2023.,Events,Medium,Gea,Gea,
44,45,2023-05-05 06:01,"Krones has published its Q1 2023 financial results - I  improved sales by 21.4% to EUR 1,198.8 million. ",Financial Results,High,Krones Germany,Krones,Germany
45,46,2023-05-05 10:38,Krones posted a blog: Interpack 2023 - Impressions from the first day of the trade fair.,Company Blog,Medium,Krones Germany,Krones,Germany
46,47,2023-05-09 00:18,Kronesposted a YouTube video: Krones machines for Schlossbrauerei Maxlrain (the Maxlrain castle brewery).,YouTube,Medium,Krones,Krones,
47,48,2023-05-09 02:46,Tetra Pak shared that they cut water and energy use while reducing waste and CO2 in a single step with their 'UHT 2.0 Heating Portfolio using OneStep technology'.,Marketing Updates,Medium,Tetra Pak,Tetra Pak,
48,49,2023-05-09 05:17,"SPX FLOW featured a blog: A more sustainable supply chain - Here at SPX FLOW, we properly dispose of, compost, reduce and recycle as many residuals as possible. ",Company Blog,Medium,Spx Flow,Spx Flow,
49,50,2023-05-09 05:24,Mondi reported that its 'Protector Bag ExpandForm' has won the people choice award at the Eurosac Grand Prix Award 2023. ,Awards,High,Mondi Group Global,Mondi,
50,51,2023-05-09 05:55,Krones added a TikTok video: Caffe Dallucci is everything at the Neutraubling plant - even for our trainees.,TikTok,Low,Krones,Krones,
51,52,2023-05-09 06:37,Tetra Pak featured a white paper - Plant-based frozen desserts are a future delight. ,Marketing Updates,Medium,Tetra Pak,Tetra Pak,
52,53,2023-05-09 07:27,"Asepto announced that it will be unveiling its latest masterpiece in Egypt, showcasing the very best in aseptic liquid packaging innovation and technology.",Marketing Updates,High,Asepto,Asepto,
53,54,2023-05-09 07:34,Krones posted a blog: Interpack 2023 - Impressions of the past days at the fair. ,Company Blog,Medium,Krones,Krones,
54,55,2023-05-09 09:32,GEA provided details regarding its complete range of static cleaners that are designed to meet the diverse tank and process requirements of the beverage industry. ,Marketing Updates,Medium,Gea Beverage,Gea,
55,56,2023-05-09 10:10,"GEA featured a new report 'The new food shortcut' - GEA is exploring new food frontiers and, together with Solar Foods, is showing how little it takes to produce food sustainably out of thin air.",Sustainability,Medium,Gea,Gea,
56,57,2023-05-10 03:55,GEA posted a video sharing that the Process Technology Center for Homogenization has become the centre of excellence and reference point for customers in defining and fine-tuning the homogenization technology.,Marketing Updates,Medium,Gea Homogenizer,Gea,
57,58,2023-05-10 04:44,Tetra Pak listed down the four concrete actions to help reduce food waste. ,Sustainability,Medium,Tetra Pak,Tetra Pak,
58,59,2023-05-10 05:17,SPX FLOW mentioned that a homogenizer requires preventative maintenance which extends the life of the machine and reduces unexpected costs over time. ,LinkedIn Posts,Medium,Spx Flow,Spx Flow,
59,60,2023-05-10 06:12,Krones shared a TikTok video: Caffe Dallucci is everything at the Neutraubling plant - for our trainees too.,TikTok,Medium,Krones,Krones,
60,61,2023-05-10 06:57,Krones' Moduljet meticulously removes dust and other residues from containers.,Instagram Posts,Medium,Krones,Krones,
61,62,2023-05-10 07:29,Krones has published its security advisory security vulnerabilities in VC4 Visualization of B&R industrial. ,Company News,Medium,Krones ,Krones,
62,63,2023-05-10 07:38,Krones added a new blog: Interpack 2023 - Final Spurt. The penultimate day of this year's interpack is gradually drawing to a close and Krones is starting the final spurt in Hall 13.,Company Blog,Medium,Krones,Krones,
63,64,2023-05-10 09:34,Elopak has become part of the 'Food For Thought' online series which will be highlighting companies pioneering the future of sustainability in the food and drink industry. ,Marketing Updates,Medium,Elopak,Elopak,
64,65,2023-05-10 12:08,New Event: Webinar - ' ackling climate change: the roles of forest science and the industry' will be taking place on 15th May 2023.,Events,Medium,Mondi Group Global,Mondi,
65,66,2023-05-11 00:18,GEA added a YouTube video: Next generation farming. ,YouTube,Medium,Gea,Gea,
66,67,2023-05-11 04:41,Mondi is upgrading its Dynas pulp and paper mill in Sweden. The modernisation programme will increase efficiency and further improve the overall environmental performance of the mill. ,Company News,High,Mondi Group Global,Mondi,
67,68,2023-05-11 05:26,Mondi shared that it has been recognised by the prestigious WorldStar Awards with eight awards.,Marketing Updates,Medium,Mondi Group Global,Mondi,
68,69,2023-05-11 07:04,GEA will be participating in the 'FCE PHARMA 2023' taking place from 13th to 15th June 2023.,Events,Medium,Gea,Gea,
69,70,2023-05-11 07:31,Upcoming Event: 'Pro Pak' Mena is scheduled to take place from 28th to 30th May 2023.,Events,Medium,Asepto,Asepto,
70,71,2023-05-11 09:01,GEA will be joining the 'Pro pak Asia 2023' taking place from 14th to 17th June 2023.,Events,Medium,Gea,Gea,
71,72,2023-05-11 09:09,SPX FLOW reported that their Nexus Scraped Surface Heat Exchanger uses CO2 during the margarine crystallization process resulting in up to 30% energy savings for customers. ,Sustainability,Medium,Spx Flow,Spx Flow,
72,73,2023-05-11 09:56,"Amcor announced that it has signed a definitive agreement to acquire Moda Systems, a leading manufacturer of state-of-the-ar , automated protein packaging machines.",Acquisition,High,Amcor Global,Amcor,
73,74,2023-05-12 02:53,"Tetra Pak discussed that its expert services have helped 8 customers in the Americas to reduce CO2 emissions by 7.6 kilotonnes, equivalent to 9% of their total plant emissions.  ",Sustainability,Medium,Tetra Pak,Tetra Pak,
74,75,2023-05-12 03:30,Amcor featured a blog: 4 waste management solutions from a healthcare packaging perspective.,Company Blog,Medium,Amcor Global,Amcor,
75,76,2023-05-12 03:31,Amcor has been recognized as a top leader in sustainable innovations and won the 'Plastics Industry Association 2023 Re-Focus Leadership in Sustainability' Award.,Awards,High,Amcor Global,Amcor,
76,77,2023-05-12 05:07,New Post: Time is running out Plastics Recycling Show Europe in Amsterdam - You only have until 5 pm to visit us at booth F14 in the RAI Convention Center.,LinkedIn Posts,Medium,Krones Germany,Krones,Germany
77,78,2023-05-12 05:43,SIG featured an article: Decoding packaging materials - What makes up your food and beverage packaging? How does each material differ? ,Company Blog,Medium,Sig,Sig,
78,79,2023-05-12 05:43,GEa will be joining the 'Expoquimia' trade fair taking place from 30th May to the 2nd of June 2023.,Events,Medium,Gea,Gea,
79,80,2023-05-12 05:44,Krones highlighted that the Craftbeer cans is the ideal filling partner which reaches high flexibility and also in the low output range. ,Instagram Posts,Medium,Krones,Krones,
80,81,2023-05-12 05:49,"SPX FLOW states that more than 5,000 solution makers worldwide form the backbone of a company that helps shape the world in ways that might surprise you.",LinkedIn Posts,Medium,Spx Flow,Spx Flow,
81,82,2023-05-12 07:06,"Krones featured an article: Powerful new technology water treatment plant - With a throughput of 110 cubic meters per hour multiplied by three, this water treatment plant is one of the largest built by Krones to date. ",Company Blog,Medium,Krones Spain,Krones,Spain
82,83,2023-05-12 08:25,"Krones has modernised the Schlossbrauerei Maxlrain (the Maxlrain Castle brewery) with its bottling line which manages to fill 20,000 bottles per hour.",Company News,High,Krones,Krones,
83,84,2023-05-12 09:46,Elopak states that they are taking part in the 'Food For Thought' online series that highlights innovating companies carving the path for a more sustainable future. ,Marketing Updates,Medium,Elopak,Elopak,
84,85,2023-05-12 14:37,Amcor posted a blog: In conversation with Amcor Lift-Off winner circolution - Part I.,Company Blog,Medium,Amcor Global,Amcor,
85,86,2023-05-15 02:11:34,GEA talked about its 'DairyRobot R9500' which is engineered to enhance the milking process for the cow. The design flexibility of the milking robot allows the users to choose voluntary milking in their preferred cow traffic style. ,Marketing Updates,Medium,Gea Ireland,Gea,Ireland
86,87,2023-05-15 05:34:03,"SPX FLOW is promoting its Aseptic Rapid Recovery System - Pigging Technology which provides the highest hygienic process available for ambient, aseptic, highly sensitive, high-value pH-neutral applications along with high-value viscous products such as creams, dessert creams, cosmetics and nutraceuticals. ",Marketing Updates,Medium,Spx Flow,Spx Flow,
87,88,2023-05-15 05:42:03,"Mondi announced that the 'Teaming up 4 Forests' website is now live - I  is a platform initiated by IUFRO - International Union of Forest Research Organizations and Mondi Group, which aims to build bridges between science, business and key stakeholders across the forest value chain. ",Marketing Updates,High,Mondi Group Global,Mondi,
88,89,2023-05-15 06:05:03,"Amcor 'The home of Catalyst' has announced the opening of a new material science Center at its 'Innovation Center Europe', in Ghent, Belgium.",Company News,High,Amcor Global,Amcor,
89,90,2023-05-15 07:16:03,Krones has opened another R&D centre for ideas of the future. ,Company News,High,Krones,Krones,
90,91,2023-05-15 10:36:54,"Lamipak mentioned that the aseptic packages are now capable of containing, preserving and protecting still water so the consumers can have the beverage without the plastic while contributing towards reducing 50.6% carbon footprint.",Marketing Updates,Medium,Lamipak,Lamipak,
91,92,2023-05-15 15:19:51,"Krones reported that the Saudi-Arabian drinking water producer Makkah Water Company has, for now, finished updating and expanding capacity at its main plant in Jeddah.",Company News,High,Krones,Krones,
92,93,2023-05-16 02:38:40,GEA reported that the TAMS 3 Dairy Equipment Scheme (DES) is now open for applications for specific items of investment. ,Marketing Updates,Medium,Gea Ireland,Gea,Ireland
93,94,2023-05-16 03:09:26,GEA featured its free rotating cleaners - These cleaners are specifically designed for low-adhesive beverage products and provide excellent cleaning performance.,Marketing Updates,Medium,Gea Beverage,Gea,
94,95,2023-05-16 03:34:38,"Krones mentioned that its Modulpal Pro makes the loading and unloading of pallets easy which is extremely quick, gentle on the product and highly flexible. ",Marketing Updates,Medium,Krones,Krones,
95,96,2023-05-16 04:14:59,"Amcor featured a report 'Cheddar Cheese - The UK's favourite cheese'. According to local legend, Cheddar was discovered by accident over 800 years ago. ",Marketing Updates,Medium,Amcor Global,Amcor,
96,97,2023-05-16 05:34:01,SPX FLOW will be holding a webinar 'Heat transfer in stirred tanks' on 16th May 2023. ,Events,Medium,Spx Flow,Spx Flow,
97,98,2023-05-16 05:42:00,Mondi sponsored the participation of its colleagues at the running event - Vienna City Marathon.,LinkedIn Posts,Medium,Mondi Group Global,Mondi,
98,99,2023-05-16 07:58:00,Asepto will be organising an exhibition in Cairo from 28th to 30th May where they will be showcasing their latest end-to-end aseptic liquid packaging solution. ,Events,Medium,Asepto,Asepto,
99,100,2023-05-16 07:59:00,Krones will be joining the 'ProPak Asia 2023' taking place from 14th to 17th June 2023. ,Events,Medium,Krones,Krones,
100,101,2023-05-16 16:02:49,"GEA is offering a wide range of consulting and support services regarding pumps, valves and cleaners. The offer is valid till 30th June 2023.",Promotions,High,Gea Beverage,Gea,
101,102,2023-05-17 00:13:35,GEA added a YouTube video: GEA Pre-Dryer for short-cu  pasta. ,YouTube,Medium,Gea,Gea,
102,103,2023-05-17 03:03:37,SPX FLOW added a recording of a webinar video: Heat Transfer in Stirred Tanks. ,YouTube,Medium,Spx Flow,Spx Flow,
103,104,2023-05-17 05:38:59,Mondi highlighted that they took part in the '4 Game Changers' festival once again this year. ,LinkedIn Posts,Medium,Mondi Group Global,Mondi,
104,105,2023-05-17 07:56:59,Krpnes announced that Acqua Sant'Anna has further expanded its mineral water capacity with its filling lines featuring ErgoBloc L wet-end technology.,Company News,High,Krones,Krones,
105,106,2023-05-17 09:00:59,SPX FLOW states that high-cycle hydraulic torque wrenches play a critical role when large industrial fasteners are needed. These high-strength hydraulic tools are made with corrosion-resistant material to withstand the harshest of environments. ,Marketing Updates,Medium,Spx Flow,Spx Flow,
106,107,2023-05-17 11:30:54,"Mondi shared that they hosted a group of talented mentees from the WoMentoring programme Club Alpha, and it was truly empowering to witness their exchange of ideas and experiences.",Facebook Posts,Low,Mondi Group Global,Mondi,
107,108,2023-05-17 13:56:58,Mondi has partnered up with 'Endangered Wildlife Trust' to map biodiversity footprints in South African forestry operations.,New Partnerships,High,Mondi Group Global,Mondi,
108,109,2023-05-18 03:22:10,"GEA is promoting its process units for NAB that are designed with reliability, flexibility, quality, sustainability and food safety in mind, giving the security of outcome that maintains the brand.",Marketing Updates,Medium,Gea Beverage,Gea,
109,110,2023-05-18 03:56:57,GEA's CEO Stefan Klebert shared his thoughts about the role of mechanical engineering in feeding the world sustainably.,Thought Leadership,Medium,Gea,Gea,
110,111,2023-05-18 04:51:57,Tetra Pak highlighted its connected workforce which is a digital training platform that makes on-the-job learning intuitive and engaging while enabling smooth collaboration.,LinkedIn Posts,Medium,Tetra Pak,Tetra Pak,
111,112,2023-05-18 05:19:28,Mondi added a YouTube video: Power of Challenge - Watch our second video episode with Lauri Saaskilahti.,YouTube,Medium,Mondi Group Global,Mondi,
112,113,2023-05-18 05:27:57,SPX FLOW shared a few shots of solution makers at sites around the globe prioritizing Earth Day every day. ,LinkedIn Posts,Low,Spx Flow,Spx Flow,
113,114,2023-05-18 05:53:55,SPX FLOW YouTube video: Votator II vertical scraped surface heat exchanger - Reduce downtime and increased flexibility.,YouTube,Medium,Spx Flow,Spx Flow,
114,115,2023-05-18 07:06:06,GEA will be joining the Waste Management and Waste to Energy Asia' Summit 2023 taking place from the 14th to the 16th of June 2023. ,Events,Medium,Gea,Gea,
115,116,2023-05-18 11:30:09,"GEA has launched the new 'EA ProManure E2950 manure enricher' - I  enables local production of fertiliser using only livestock slurry, air and electricity. ",New Products and Services,High,Gea Farming Ireland,Gea Farming,Ireland
116,117,2023-05-18 11:45:17,Krones' contiroll uses only two narrow strips of hot glue at the beginning and end of a label.,Twitter Posts,Medium,Krones,Krones,
117,118,2023-05-18 11:48:46,Upcoming Event: 'Grzegorz Hyzy - Concert' will be taking place on 10th June 2023.,Events,Medium,Mondi Group Global,Mondi,
118,119,2023-05-18 11:54:51,"Pascal Meyer, Group Environment Director at Amcor explained how a risk-reduction approach to the environment is paying dividends. ",Sustainability,Medium,Amcor Global,Amcor,
119,120,2023-05-18 14:42:08,Amcor will be joining the 'Hospitilar 2023' taking place from 23rd to 27th May 2023. ,Events,Medium,Amcor Global,Amcor,
120,121,2023-05-19 04:00:55,"In a Linkedin post, GEA highlighted its Homogenizers Table-Top - These are compact machines ideal for the treatment of nanoparticles, nanodispersions and nanoemulsions.",LinkedIn Posts,Medium,Gea Homogenizer,Gea,
121,122,2023-05-19 04:47:08,SIG featured an article: Superfood Stories - Foods labelled as 'superfoods' are known for their health-promoting properties. But what exactly is behind the term 'superfoods'? ,Company Blog,Medium,Sig ,Sig,
122,123,2023-05-19 06:49:00,"Tetra Pak mentioned that food safety and packaging sustainability must go hand in hand and policy measures for packaging perishable liquid foods should always consider the needs of the product, as well as the package.",Sustainability,Medium,Tetra Pak,Tetra Pak,
123,124,2023-05-19 07:01:04,"SPX FLOW reported that they offer world-class end-to-end plant-based process lines, including all technology, process expertise and support services. ",Marketing Updates,Medium,Spx Flow,Spx Flow,
124,125,2023-05-19 09:24:50,GEA provided details regarding the 'GEA CircoBright SFM' that fulfils the highest expectations and dissolves even the most persistent mineral deposits. It is designed for thorough cleaning whatever the water type. ,Marketing Updates,Medium,Gea Farming Ireland,Gea Farming,Ireland
125,126,2023-05-19 09:42:53,Mondi states that May is a 'Mental Health Awareness' Month and they take employee well-being seriously.,Facebook Posts,Medium,Mondi Group Global,Mondi,
126,127,2023-05-19 10:02:54,Asepto talked about its 'Propak Mena 2023' exhibition in Cairo taking place from the 28th to the 30th of May 2023.,Events,Medium,Asepto,Asepto,
127,128,2023-05-19 10:47:24,Elopak has presented its long-standing partner R%F8rosmeieriet in the 'Food For Thought' online series featuring innovating brands working towards a more sustainable future in the food and drinks industry.  ,Sustainability,Medium,Elopak,Elopak,
128,129,2023-05-19 10:55:17,Krones featured a report from the UN environment programme - ' urning off the Tap - How the world can end plastic pollution and create a circular economy'. ,Marketing Updates,Medium,Krones,Krones,
129,130,2023-05-19 12:51:59,Amcor added a new blog: How e-commerce sales of dietary supplements drive new opportunities in package design.,Company Blog,Medium,Amcor Global,Amcor,
130,131,2023-05-19 13:06:55,Amcor shared that the Life Cycle Assessment (LCA) report has confirmed that PET plastic bottles are better for the environment than aluminium cans or glass bottles.,Marketing Updates,Medium,Amcor Global,Amcor,
131,132,2023-05-19 13:09:35,Amcor featured a new podcast: Strengthening recycling systems for PET packaging circularity. ,Podcasts,Medium,Amcor Global,Amcor,
132,133,2023-05-19 13:09:37,Amcor featured an article: Hook more fish and seafood consumers with the right packaging.,Company Blog,Medium,Amcor Global,Amcor,
133,134,2023-05-22 03:04:03,Amcor announced that its plant in Londrina has achieved International Sustainability and Carbon Certification Plus (ISSC Plus )status.,Company News,High,Amcor Global,Amcor,
134,135,2023-05-22 04:22:15,Tetra Pak will be joining the 'Pro Pak MENA 2023' taking place from 28th to 30th May 2023. ,Events,Medium,Tetra Pak,Tetra Pak,
135,136,2023-05-22 04:41:50,"In a LinkedIn post, Krones states that it's a World Day of Cultural Diversity - I  recognises the richness of the world's cultures and the essential role of intercultural dialogue in achieving peace and sustainable development.",LinkedIn Posts,Medium,Krones Germany,Krones,Germany
136,137,2023-05-22 04:49:49,Tetra Pak provided details on how to improve operational efficiency as a company. ,LinkedIn Posts,Medium,Tetra Pak,Tetra Pak,
137,138,2023-05-22 05:23:49,"Linkedin Post: Our AAPI recognition continues. Thank you to our solution makers for the unique and diverse perspectives you bring to Solution City, each and every day.",LinkedIn Posts,Low,Spx Flow,Spx Flow,
138,139,2023-05-22 05:31:48,"Mondi discussed that 20 to 30% of fresh fibres are essential to complement the recycled fibre supply in containerboard production and its KraftTop papers offer precisely this ideal blend of fresh and recycled fibres, ensuring both quality and sustainability for our valued customers. ",Marketing Updates,Medium,Mondi Group Global,Mondi,
139,140,2023-05-22 06:36:50,GEA has introduced a new generation pre-dryer for pasta processing for improved efficiency and lower operating costs.,New Products and Services,High,Gea,Gea,
140,141,2023-05-22 07:42:49,Krones shared an article from 'UN Environment Program 'How the world can end plastic pollution and create a circular economy.,Sustainability,Medium,Krones,Krones,
141,142,2023-05-22 10:24:09,"In a Facebook post, Tetra Pak featured its tethered caps that have been designed for smooth pouring which also comply with regulatory requirements.",Marketing Updates,Medium,Tetra Pak,Tetra Pak,
142,143,2023-05-22 12:31:35,"Amcor reported that If U.S. residents swapped their daily afternoon can of soda for a PET bottle, they would collectively conserve 1,754 Olympic swimming pools' worth of water per year and avoid generating waste equal to the weight of 193,000 elephants annually. ",Sustainability,Medium,Amcor Global,Amcor,
143,144,2023-05-22 12:41:43,SIG will be participating in the 'Private Label Manufacturers Association - International Council' (PLMA) taking place on 23rd and 24th May 2023.,Events,Medium,Sig,Sig,
144,145,2023-05-23 00:40:40,"'GEA DICON Continuous In-line Blender' is for the multi-component in-line mixing directly in the pipeline, and for accurate blending, precise metering, and homogenous results.",Marketing Updates,Medium,Gea Beverage,Gea,
145,146,2023-05-23 02:27:38,Amcor will be participating in the 'Southeastern Meat Association' taking place from 8th to 11th June 2023. ,Events,Medium,Amcor Global,Amcor,
146,147,2023-05-23 02:33:51,Mondi featured an article: Contributing to nature goals with sustainable forest management. ,Company Blog,Medium,Mondi Group Global,Mondi,
147,148,2023-05-23 02:44:53,"The GEA AutoSelect 3000 drafting gate is reliable, fully automated and controlled by either a manual-draft remote, a cloud-based Velos Interface or with DairyPlan fully integrated herd management software. ",Marketing Updates,Medium,Gea Ireland,Gea,Ireland
148,149,2023-05-23 02:48:39,Tetra Pak reported that the beverage carton industry calls for a 90% mandatory collection target and it needs to be increased to help improve recycling rates. ,Sustainability,Medium,Tetra Pak,Tetra Pak,
149,150,2023-05-23 03:00:11,SPX FLOW announced that its new 'Flex-Mix Pilot Mixer' is now available for small batch testing in labs. ,Marketing Updates,High,Spx Flow,Spx Flow,
150,151,2023-05-23 03:25:13,Elopak has unveiled a new film examining the role of beverage cartons in providing a more sustainable future for the packaging industry. ,Marketing Updates,Medium,Elopak,Elopak,
151,152,2023-05-23 03:46:02,Krones states that the fully automatic Variopac Pro packaging machine easily adapts to all packaging trends. This modular design of the machine enables this flexibility.,Marketing Updates,Medium,Krones,Krones,
152,153,2023-05-23 04:06:32,GEA has announced to invest around EUR 50 million in the modernization of its German centrifuge production facilities in Oelde and Niederahr by the end of 2024. ,Company News,High,Gea,Gea,
